Source : France Travail - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à France Travail, Catégorie : A et B et C et D et E par Département - Département : Ariège 09 et Aude 11 et Aveyron 12 et Gard 30 et Gers 32 et Haute-Garonne 31 et Hautes-Pyrénées 65 et Hérault 34 et Lot 46 et Lozère 48 et Pyrénées-Orientales 66 et Tarn 81 - Janvier 2007 à Décembre 2007 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?ff=A,B,C,D,E&fi=76&fj=09,11,12,30,32,31,65,34,46,48,66,81&lj=0&pp=200701-200712&ss=1
Mois;Ariège 09;Aude 11;Aveyron 12;Gard 30;Gers 32;Haute-Garonne 31;Hautes-Pyrénées 65;Hérault 34;Lot 46;Lozère 48;Pyrénées-Orientales 66;Tarn 81;Total
Janvier 2007; 10 020; 24 360; 11 340; 55 140; 8 280; 86 840; 15 560; 81 270; 9 260; 3 090; 30 390; 24 920; 360 460
Février 2007; 9 840; 23 810; 11 190; 54 390; 8 300; 85 730; 15 320; 80 290; 9 170; 3 010; 29 930; 24 810; 355 790
Mars 2007; 9 790; 23 620; 10 870; 53 830; 8 170; 84 670; 14 960; 79 460; 8 940; 2 910; 29 640; 24 510; 351 370
Avril 2007; 9 530; 22 730; 10 440; 52 070; 7 990; 83 120; 13 580; 76 670; 8 540; 2 750; 28 150; 23 990; 339 550
Mai 2007; 9 260; 22 170; 10 160; 50 690; 7 840; 82 150; 13 240; 74 430; 8 320; 2 550; 26 750; 23 560; 331 110
Juin 2007; 8 970; 21 170; 9 920; 48 390; 7 630; 80 210; 12 680; 71 450; 8 080; 2 360; 24 700; 22 990; 318 570
Juillet 2007; 8 820; 20 900; 9 930; 47 680; 7 640; 79 100; 12 360; 70 040; 7 960; 2 350; 23 920; 22 870; 313 560
Août 2007; 9 000; 21 300; 10 250; 48 350; 7 870; 80 420; 12 750; 71 800; 8 050; 2 400; 24 820; 23 320; 320 340
Septembre 2007; 9 280; 22 480; 10 620; 50 480; 7 860; 82 570; 13 070; 75 930; 8 370; 2 520; 27 360; 23 700; 334 240
Octobre 2007; 9 390; 23 230; 10 840; 51 730; 7 880; 82 780; 14 760; 78 610; 8 490; 2 640; 29 170; 23 800; 343 310
Novembre 2007; 9 520; 23 510; 11 100; 52 300; 7 890; 82 250; 15 530; 79 260; 8 700; 2 760; 29 720; 23 900; 346 440
Décembre 2007; 9 260; 23 090; 10 880; 51 050; 7 900; 80 190; 14 780; 77 370; 8 570; 2 720; 28 690; 23 320; 337 800

Les données présentées dans ce tableau sont arrondies à la dizaine. Pour cette raison, la somme des valeurs d’une ligne (ou d’une colonne) peut légèrement différer du total affiché.
