Exercice;siren;Code commune;Nom Collectivité;Population municipale;Population totale;com_code;tranche_poids_des_logements_sociaux;Tranche revenu par habitant;Commune rurale;Code Officiel Région;Code Officiel Département;Strate population;Outre-mer;Code Officiel EPCI;Compte 2023 Disponible;Commune touristique;Présence QPV;Commune de montagne;Nom Officiel Commune;Population totale du dernier exercice;Nom Officiel Région;Nom Officiel Département;Nom Officiel EPCI;annee_texte
2017;214600017;46001;Albas;520;535;46001;1;1;Non;76;46;3;Non;244600433;1;Non;Non;Non;Albas;535;Occitanie;Lot;Communauté de communes de la Vallée du Lot et du Vignoble;2017
2017;214600223;46022;Bélaye;231;241;46022;0;1;Oui;76;46;2;Non;244600433;1;Non;Non;Non;Bélaye;212;Occitanie;Lot;Communauté de communes de la Vallée du Lot et du Vignoble;2017
2017;214600231;46023;Belfort-du-Quercy;500;508;46023;0;1;Oui;76;46;3;Non;244600532;1;Non;Non;Non;Belfort-du-Quercy;521;Occitanie;Lot;Communauté de communes du Pays de Lalbenque-Limogne;2017
2017;214600306;46030;Bio;352;362;46030;1;1;Oui;76;46;2;Non;200066371;1;Oui;Non;Non;Bio;349;Occitanie;Lot;Communauté de communes Causses et Vallée de la Dordogne;2017
2017;214600363;46036;Le Bouyssou;140;140;46036;0;1;Oui;76;46;1;Non;200067361;1;Non;Non;Oui;Le Bouyssou;127;Occitanie;Lot;Communauté de communes Grand-Figeac;2017
2017;214600371;46037;Bouziès;79;81;46037;0;1;Oui;76;46;0;Non;200023737;1;Non;Non;Non;Bouziès;94;Occitanie;Lot;Communauté d'agglomération du Grand Cahors;2017
2017;214600546;46054;Caniac-du-Causse;346;367;46054;0;0;Oui;76;46;2;Non;244600573;1;Non;Non;Non;Caniac-du-Causse;395;Occitanie;Lot;Communauté de communes du Causse de Labastide-Murat;2017
2017;214600595;46059;Carlucet;226;233;46059;0;1;Oui;76;46;2;Non;200066371;1;Oui;Non;Non;Carlucet;234;Occitanie;Lot;Communauté de communes Causses et Vallée de la Dordogne;2017
2017;214600603;46060;Carnac-Rouffiac;221;223;46060;0;2;Oui;76;46;2;Non;244600433;1;Non;Non;Non;Carnac-Rouffiac;230;Occitanie;Lot;Communauté de communes de la Vallée du Lot et du Vignoble;2017
2017;214600645;46064;Catus;890;905;46064;2;1;Oui;76;46;3;Non;200023737;1;Non;Non;Non;Catus;921;Occitanie;Lot;Communauté d'agglomération du Grand Cahors;2017
2017;214600900;46090;Durbans;128;130;46090;0;1;Oui;76;46;1;Non;200067361;1;Non;Non;Non;Durbans;153;Occitanie;Lot;Communauté de communes Grand-Figeac;2017
2017;214601056;46105;Flaujac-Poujols;712;734;46105;0;2;Non;76;46;3;Non;244600532;1;Non;Non;Non;Flaujac-Poujols;809;Occitanie;Lot;Communauté de communes du Pays de Lalbenque-Limogne;2017
2017;214601080;46108;Fons;398;416;46108;0;1;Oui;76;46;2;Non;200067361;1;Non;Non;Non;Fons;422;Occitanie;Lot;Communauté de communes Grand-Figeac;2017
2017;214601189;46118;Gignac;652;667;46118;0;2;Oui;76;46;3;Non;200066371;1;Non;Non;Non;Gignac;689;Occitanie;Lot;Communauté de communes Causses et Vallée de la Dordogne;2017
