Exercice;siren;Code commune;Nom Collectivité;Population municipale;Population totale;com_code;tranche_poids_des_logements_sociaux;Tranche revenu par habitant;Commune rurale;Code Officiel Région;Code Officiel Département;Strate population;Outre-mer;Code Officiel EPCI;Compte 2023 Disponible;Commune touristique;Présence QPV;Commune de montagne;Nom Officiel Commune;Population totale du dernier exercice;Nom Officiel Région;Nom Officiel Département;Nom Officiel EPCI;annee_texte
2012;210900015;09001;Aigues-Juntes;42;42;09001;0;0;Oui;76;09;0;Non;200067940;1;Non;Non;Oui;Aigues-Juntes;58;Occitanie;Ariège;Communauté de communes Couserans-Pyrénées;2012
2012;210900130;09013;Arabaux;63;65;09013;0;2;Oui;76;09;0;Non;200067791;1;Non;Non;Oui;Arabaux;82;Occitanie;Ariège;Communauté d'agglomération L'agglo Foix-Varilhes;2012
2012;210900437;09043;La Bastide-sur-l'Hers;721;743;09043;1;1;Oui;76;09;3;Non;200044469;1;Non;Non;Non;La Bastide-sur-l'Hers;691;Occitanie;Ariège;Communauté de communes du Pays de Mirepoix;2012
2012;210900460;09046;Bédeille;85;86;09046;0;1;Oui;76;09;0;Non;200067940;1;Non;Non;Oui;Bédeille;70;Occitanie;Ariège;Communauté de communes Couserans-Pyrénées;2012
2012;210900791;09079;Carla-Bayle;755;774;09079;0;0;Oui;76;09;3;Non;200066223;1;Oui;Non;Non;Carla-Bayle;811;Occitanie;Ariège;Communauté de communes Arize Lèze;2012
2012;210900957;09095;Cescau;138;147;09095;0;2;Oui;76;09;1;Non;200067940;1;Non;Non;Oui;Cescau;157;Occitanie;Ariège;Communauté de communes Couserans-Pyrénées;2012
2012;210901005;09100;Couflens;83;85;09100;0;0;Oui;76;09;0;Non;200067940;1;Non;Non;Oui;Couflens;96;Occitanie;Ariège;Communauté de communes Couserans-Pyrénées;2012
2012;210901039;09103;Crampagna;605;620;09103;0;2;Non;76;09;3;Non;200067791;1;Non;Non;Oui;Crampagna;911;Occitanie;Ariège;Communauté d'agglomération L'agglo Foix-Varilhes;2012
2012;210901062;09106;Dreuilhe;369;375;09106;0;1;Non;76;09;2;Non;240900464;1;Non;Non;Oui;Dreuilhe;375;Occitanie;Ariège;Communauté de communes du Pays d'Olmes;2012
2012;211101126;11112;Cubières-sur-Cinoble;102;102;11112;0;0;Oui;76;11;0;Non;200071926;1;Non;Non;Oui;Cubières-sur-Cinoble;84;Occitanie;Aude;Communauté de communes du Limouxin;2012
2012;211101159;11115;Cuxac-Cabardès;917;961;11115;2;1;Oui;76;11;3;Non;200042463;1;Non;Non;Oui;Cuxac-Cabardès;928;Occitanie;Aude;Communauté de communes de la Montagne Noire;2012
2012;211101191;11119;La Digne-d'Amont;282;289;11119;0;1;Oui;76;11;2;Non;200071926;1;Non;Non;Non;La Digne-d'Amont;297;Occitanie;Aude;Communauté de communes du Limouxin;2012
2012;211101209;11120;La Digne-d'Aval;550;552;11120;0;1;Non;76;11;3;Non;200071926;1;Non;Non;Non;La Digne-d'Aval;540;Occitanie;Aude;Communauté de communes du Limouxin;2012
2012;211101241;11124;Durban-Corbières;684;695;11124;1;1;Oui;76;11;3;Non;200070365;1;Non;Non;Non;Durban-Corbières;662;Occitanie;Aude;Communauté de communes Corbières Salanque Méditerranée;2012
2012;211101399;11139;Fenouillet-du-Razès;86;88;11139;0;2;Oui;76;11;0;Non;200035707;1;Non;Non;Non;Fenouillet-du-Razès;77;Occitanie;Aude;Communauté de communes Piège Lauragais Malepère;2012
2012;211101514;11151;Fontiès-d'Aude;404;410;11151;3;1;Oui;76;11;3;Non;200035715;1;Non;Non;Non;Fontiès-d'Aude;534;Occitanie;Aude;Communauté d'agglomération Carcassonne Agglo;2012
2012;211101563;11156;Fraisse-Cabardès;110;115;11156;0;1;Oui;76;11;1;Non;200042463;1;Non;Non;Oui;Fraisse-Cabardès;106;Occitanie;Aude;Communauté de communes de la Montagne Noire;2012
2012;211101613;11161;Gardie;104;105;11161;0;1;Oui;76;11;1;Non;200071926;1;Non;Non;Non;Gardie;131;Occitanie;Aude;Communauté de communes du Limouxin;2012
2012;211101779;11177;Joucou;36;38;11177;0;0;Oui;76;11;0;Non;200043776;1;Non;Non;Oui;Joucou;31;Occitanie;Aude;Communauté de communes Pyrénées Audoises;2012
