Libelle_commune,Annee,Candidats
0,2007,"['POLETTI', 'LABARTHE', 'GARRIGUE', 'LEDOUX']"
0,2012,"['POLETTI', 'ALLAIN', 'LEDOUX', 'MORTEMOUSQUE']"
ACOUA,2007,"['ALY', 'KAMARDINE']"
AUGE ST MEDARD,2007,"['FOMBARON', 'LAMBERT']"
Aast,2007,"['CABANNE', 'BAYROU']"
Aast,2012,"['CHABANNE', 'BAYROU']"
Abainville,2007,"['PANCHER', 'VILLEMIN']"
Abainville,2012,"['PANCHER', 'ANDRE']"
Abancourt,2007,"['HOUSSIN', 'DOUAY', 'VILLAIN', 'MANCEL']"
Abancourt,2012,"['FILLEUL', 'HOUSSIN', 'VILLAIN', 'MANCEL']"
Abaucourt,2007,"['GIROUX', 'LE DEAUT']"
Abaucourt,2012,"['PIZELLE', 'LE DEAUT']"
Abaucourt-Hautecourt,2007,"['BECQ-VINCI', 'DUMONT']"
Abaucourt-Hautecourt,2012,"['LEONARD', 'DUMONT']"
Abbans-Dessous,2007,"['BRANGET', 'ROMAGNAN']"
Abbans-Dessous,2012,"['BRANGET', 'ROMAGNAN']"
Abbans-Dessus,2007,"['BRANGET', 'ROMAGNAN']"
Abbans-Dessus,2012,"['BRANGET', 'ROMAGNAN']"
Abbaretz,2007,"['HUNAULT', 'BIORET']"
Abbaretz,2012,"['HUNAULT', 'DANIEL']"
Abbecourt,2007,"['HOUSSIN', 'MANCEL']"
Abbecourt,2012,"['HOUSSIN', 'MANCEL']"
Abbenans,2007,"['PARRENIN', 'BONNOT']"
Abbenans,2012,"['BONNOT', 'MARTHEY']"
Abbeville,2007,"['HART', 'MATHON']"
Abbeville,2012,"['BOISTARD', 'DECAYEUX']"
Abbeville-Saint-Lucien,2007,"['ROME', 'DASSAULT']"
Abbeville-Saint-Lucien,2012,"['LEJEUNE', 'DASSAULT']"
Abbécourt,2007,"['DESALLANGRE', 'THUIN-MACHEREZ']"
Abbécourt,2012,"['LETRILLART', 'BECHTEL']"
Abbéville-la-Rivière,2012,"['MARLIN', 'PERIE']"
Abbéville-lès-Conflans,2007,"['GIROUX', 'LE DEAUT']"
Abbéville-lès-Conflans,2012,"['PIZELLE', 'LE DEAUT']"
Abbévillers,2007,"['THARIN', 'MOSCOVICI']"
Abbévillers,2012,"['DEMOUGE', 'MOSCOVICI']"
Abeilhan,2007,"['ROQUES', 'MESQUIDA']"
Abeilhan,2012,"[""D'ETTORE"", 'DENAJA']"
Abeilhan,2017,"['EUZET', 'ROQUES']"
Abeilhan,2022,"['BLASCO', 'LOPEZ LIGUORI']"
Abelcourt,2012,"['RAISON', 'VILLAUME']"
Abergement-la-Ronce,2007,"['SERMIER', 'VIVERGE']"
Abergement-la-Ronce,2012,"['LAROCHE', 'SERMIER']"
Abergement-le-Grand,2007,"['SERMIER', 'VIVERGE']"
Abergement-le-Grand,2012,"['LAROCHE', 'SERMIER']"
Abergement-le-Petit,2012,"['BRULEBOIS', 'PELISSARD']"
Abergement-lès-Thésy,2007,"['SERMIER', 'VIVERGE']"
Abergement-lès-Thésy,2012,"['LAROCHE', 'SERMIER']"
Abidos,2007,"['HABIB', 'SAILLIET']"
Abilly,2007,"['DESCAMPS', 'TOURAINE']"
Abilly,2012,"['TOURAINE', 'BARBIER']"
Abitain,2007,"['DOMECQ', 'LASSALLE']"
Abitain,2012,"['MAITIA', 'LASSALLE']"
Abjat-sur-Bandiat,2007,"['LUCAS', 'DEBET']"
Ablain-Saint-Nazaire,2007,"['GENISSON', 'ZIOLKOWSKI']"
Ablain-Saint-Nazaire,2012,"['MAQUET', 'PRESTAUX']"
Ablaincourt-Pressoir,2007,"['KUMM', 'DEMILLY']"
Ablaincourt-Pressoir,2012,"['KUMM', 'DEMILLY']"
Ablainzevelle,2007,"['RAPENEAU', 'MAQUET']"
Ablainzevelle,2012,"['COTTEL', 'PETIT']"
Ablancourt,2012,"['DE COURSON', 'DOREMUS']"
Ableiges,2007,"['DROLON', 'HOUILLON']"
Ableiges,2012,"['GRUNDLER', 'HOUILLON']"
Ablis,2007,"['FISCHER', 'BOUTIN']"
Ablis,2012,"['POURSINOFF', 'POISSON']"
Ablon,2012,"['AMELINE', 'LE MARREC']"
Ablon-sur-Seine,2007,"['GONZALES', 'SCHWARTZENBERG']"
Ablon-sur-Seine,2012,"['GONZALES', 'SCHWARTZENBERG']"
Aboncourt,2007,"['FILIPPETTI', 'MISSOFFE', 'MORANO', 'PILOT']"
Aboncourt,2012,"['POTIER', 'MORANO', 'GROMMERCH-BRANDENBURGER', 'MERTZ']"
Aboncourt-Gesincourt,2012,"['CHRETIEN', 'CHAUVELOT-DUBAN']"
Aboncourt-sur-Seille,2012,"['SCHAFF', 'MARTY']"
Abondance,2007,"['FRANCINA', 'VERGUET']"
Abondance,2012,"['FRANCINA', 'ESCOUBES']"
Abondant,2007,"['HAMEL', 'HESSEL']"
Abondant,2012,"['MARLEIX', 'BOULLAIS']"
Abos,2007,"['HABIB', 'SAILLIET']"
Aboën,2012,"['BENCHARIF', 'CINIERI']"
